Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s)
Paiute (Northern),Uto-Aztecan,Northern,1,0,,0,1,1,0,1,0,1,,0,0,,"Snapp, Anderson, & Anderson (1982), Thornes (2003)"
Palula,Indo-European,Indo-Aryan,0,1,,,0,1,1,2,1,1,,0,,,Liljegren (2008)
Pashto,Indo-European,Indo-Iranian,1,1,,0,0,1,1,,0,0,,0,0,,Tegey & Robson (1996)
Pilagá,Guaicuruan,Southern,0,0,,,1,1,0,,0,1,,0,,,Vidal (2001)
Pintupi,Australian,Pama-Nyungan,1,0,,1,1,1,1,3,0,2,,0,1,,Hansen & Hansen (1969)
Pirahã,Mura,,0,2,,,1,0,1,,0,1,,1,,,Everett (1998)
Plang,Austroasiatic,Khasi–Palaungic,0,1,,,1,0,1,,,0,,1,,,Giaphong (2004)
Polish,Indo-European,Slavic,1,1,1,0,1,1,1,3,0,0,,0,0,,"Crosswhite (2001), Swan (2003), _ukaszewicz & Rozborski (2008), Newlin-_ukowicz (2012), _ukaszewicz (2015)"
Pomo (Eastern),Hokan,Pomoan,1,0,,1,0,1,1,2,0,2,,0,0,,McLendon (1975)
Pomo (Southern),Hokan,Pomoan,1,1,,0,0,1,0,2,0,1,,0,0,,"Walker (2008, 2013)"
Punjabi,Indo-European,Indo-Aryan,0,,,,1,1,0,,0,1,,1,,,Bhatia (1993)
Q'eqchi' (K'ekchi),Mayan,Quichean–Mamean,0,1,,,0,1,1,,0,1,,0,,,Berinstein (1979); Bennett (to appear); Wagner (2014)
Quechua (South Conchucos),Quechuan,,1,1,,0,1,1,1,2,0,1,,0,0,,Hintz (2006)
Saanich,Salishan,Central Salish,1,1,,0,1,1,0,,1,0,,0,1,1,Leonard (2007)
Sahaptin (Yakima),Penutian,Plateau Penutian,0,1,,,0,1,1,,0,1,,0,,,"Hargus & Beavert (2005), Jansen (2010)"
Savosavo,Central Solomons,Savosavo,2,1,,0,1,0,1,,0,0,,0,,,Wegener (2008)
Shuswap,Salishan,Interior Salish,0,1,,,0,1,1,,0,0,,0,,,"Gibson (1973), Idsardi (1991)"
Sidaama (Sidamo),Afro-Asiatic,Cushitic,0,1,,,1,1,0,2,0,2,,0,,,"Moreno (1940), Kawachi (2007)"
Spanish (European),Indo-European,Romance,0,1,,,0,1,0,2,0,0,,0,,,"Dogil & Williams (1999), Roca (1999), Crosswhite (2001), Llisterri, Machuca, de la Mota, Riera, & Ríos (2003), Vogel et al (2016)"
Tagalog,Austronesian,Malayo-Polynesian,0,1,,,1,1,1,,0,0,1,0,,,"Llamzon (1976), Schachter & Otanes (1982), French (1991)"
Tarahumara,Uto-Aztecan,Tarahumaran languages,0,0,,,1,0,0,1,1,0,,1,,,Caballero (2008)
Tepehua (Huehuetla),Totonacan,Tepiman,1,1,,0,1,,,1,0,1,,0,1,1,Kung (2007)
Thai,Tai–Kadai,Tai,0,1,,,1,1,0,1,1,2,,1,,,"Peyasantiwong (1986), Potisuk, Gandour, & Harper (1996), Tumtavitikul (1996)"
Tongan,Austronesian,Malayo-Polynesian,1,1,,0,1,1,1,2,0,1,,0,0,,"Churward (1953), Garellek & White (2012)"
Toratán,Austronesian,Malayo-Polynesian,0,1,,,1,1,0,2,0,1,,0,,,Himmelmann & Wolff (1999)
Totonac (Misantla),Totonacan,Totonac,0,1,,,1,,1,,0,1,,0,,,"MacKay (1994), van der Hulst, Rice, & Wetzels (2010)"
Trio/Tiriyó,Cariban,Guianan Carib,1,1,,0,1,0,0,1,0,1,,1,0,,Carlin (2004)
Trumai,Isolate3,,0,1,,,0,1,1,,,0,,0,,,Guirardello (1999)
Tsakhur,Northeast Caucasian,Lezgic,0,0,,,0,1,0,2,0,1,,0,,,"Comrie (1981), Schulze (1997)"
Tukang Besi,Austronesian,Malayo-Polynesian,1,1,1,0,1,1,0,2,0,0,,0,0,,Donahue (1999)
Turkish,Turkic,Common Turkic,0,1,,,0,1,1,2,0,0,,0,,,Levi (2005); Vogel et al (2016)
Tuvaluan,Austronesian,Malayo-Polynesian,1,1,,0,1,1,1,,0,1,,0,0,,Besnier (2000)
Upper Chehalis,Salishan,Coast,0,,,,0,1,1,2,0,2,,0,,,Dale (1963)
Uyghur,Turkic,Common Turkic,0,1,,,0,1,1,2,1,3,,0,,,Hahn (1991)
