Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s),"Uses contrastive length, duration is a  correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast,,"Duration is a correlate, something written as a primary correlate","REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 1 REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 2 REMOVE: duration is a correlate, something written as primary correlate",Trying for pitch to make sure the same thing is true,,TO REMOVE FOR CONSONANT DURATION: duration primary correlate,oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate,"TO REMOVE FOR CONSONANT DURATION: pitch primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes pitch","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes intensity",oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,"oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes pitch",,"TO REMOVE FOR LENGTH CONTRAST:  contrastive length, duration correlate","TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration not correlate",,"Have one stress per word, have rightward stress; 1=final stress","Have final stress, pitch as correlate","Have final stress, pitch not a correlate",,"Have vowel reduction, have duration as a correlate","Have vowel reduction, don't have duration as a correlate","Don't have vowel reduction, have duration as a correlate","Don't have vowel reduction, don't have duration as a correlate",,"Has vowel reduction, is binary","Has vowel reduction, is not binary","Doesn't have vowel reduction, is binary","Doesn't have vowel reduction, is not binary",,"Has vowel reduction, has duration as a correlate, is binary","Has vowel reduction, doesn't have duration as a correlate, is binary","Doesn't have vowel reduction, has duration as a correlate, is binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is binary",,"Has vowel reduction, has duration as a correlate, is not binary","Has vowel reduction, doesn't have duration as a correlate, is not binary","Doesn't have vowel reduction, has duration as a correlate, is not binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is not binary",,"Just checking: Intensity is primary correlate, intensity is not a correlate","Just checking: Pitch is primary correlate, pitch is not a correlate","Duration is primary correlate, duration is not a correlate","Length contrasts, duration is primary correlate","Length contrasts, duration is not primary correlate (but is still correlate); includes blanks","Length contrasts, duration is not primary correlate (but is still correlate); NO blanks","Length does not contrast, duration is primary correlate","Length does not contrast, duration is not primary correlate (but is still a correlate); includes blanks","Length does not contrast, duration is not primary correlate (but is still a correlate); NO blanks","TO REMOVE FROM DURATION: length contrasts, duration is primary correlate ","TO REMOVE FROM DURATION: length contrasts, duration is not primary correlate but still a correlate)","TO REMOVE FROM DURATION: length does not contrast, duration is primary correlate","TO REMOVE FROM DURATION: length does not contrast, duration is not primary correlate (but is still a correlate)",,"Pitch contrasts, pitch is a primary correlate","Pitch does not contrast, pitch is a primary correlate","Pitch contrasts, pitch is not a primary correlate","Pitch does not contrast, pitch is not a primary correlate",,Has intensity AND has pitch,Has intensity and DOES NOT have pitch,"Does NOT have intensity, HAS pitch",Has intensity AND pitch and DOES NOT have duration,Has duration AND intensity but NOT pitch,Has duration AND pitch but NOT intensity,,"Is binary, has final lapse","Is binary, does not have final lapse","Has final lapse, has duration as a correlate","Has final lapse, does not have duration as a correlate","Does not have final lapse, has duration as a correlate","Does not have final lapse, does not have duration as a correlate",,"Has final lapse, has duration as a correlate, is leftward","Has final lapse, does not have duration as a correlate, is leftward","Does not have final lapse, has duration as a correlate, is leftword","Does not have final lapse, does not have duration as a correlate, is leftword",,"Has final lapse, is leftward","Does not have final lapse, is leftward","Has final lapse, is rightward","Does not have final lapse, is rightward"
Shuswap,28,Interior Salish,0,1,,,0,1,1,,0,0,,0,,,"Gibson (1973), Idsardi (1991)",,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Trumai,29,,0,1,,,0,1,1,,,0,,0,,,Guirardello (1999),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Turkish,30,Common Turkic,0,1,,,0,1,1,2,0,0,,0,,,Levi (2005); Vogel et al (2016),,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Upper Chehalis,31,Coast,0,,,,0,1,1,2,0,2,,0,,,Dale (1963),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Uyghur,32,Common Turkic,0,1,,,0,1,1,2,1,3,,0,,,Hahn (1991),,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Wardaman,33,Gunwingguan,2,1,,0,0,1,1,,0,0,,0,,,Merlan (1994),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Wari',34,,0,1,,,0,1,1,,0,0,,0,,,Everett & Kern (1997),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Aleut,35,Aleut,0,1,,,1,0,0,1,1,1,,0,,,"Taff et al. (2001), Bergsland (1997)",TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belep,36,Malayo-Polynesian,0,1,,,1,0,0,1,0,0,,0,,,McCracken (2012),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebuano,37,Malayo-Polynesian,1,1,,0,1,0,0,1,0,1,,0,0,,"Wolff (1972), Shryock (1993), Tanangkingsing (2009)",TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Diola-Fogny,38,Atlanticâ€“Congo,0,0,,,1,0,0,1,0,1,,0,,,Sapir (1969),TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Khanty,39,Khanty,2,0,,0,1,0,0,1,1,0,,0,,,Filchenko (2007),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enets,40,Samoyedic,1,0,,0,1,0,0,1,0,1,,0,0,,KÃ_nnap (1999),TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Finnish,41,Finno-Ugric,1,0,2,0,1,0,0,1,0,1,,0,1,,"Engstrand & Krull (1994), Suomi & Ylitalo (2004), Suomen, Toivanen, & Ylitalo (2008)",TRUE,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Hebrew,42,Central Semitic,1,1,,0,1,0,0,1,0,0,,0,0,,"Ravid & Shlesinger (2001), Becker (2003), Bolozky (1997)",,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Icelandic,43,Germanic,1,0,2,0,1,0,0,1,0,3,,0,0,,"ÃÅrnason (1999), Crosswhite (2001)",,,,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Kashibo-Kakataibo,44,Mainline Panoan,1,0,,0,1,0,0,1,1,3,,1,1,,Biondi (2011),,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Macedonian (Literary),45,Slavic,0,1,,,1,0,0,1,0,0,,0,,,Friedman (1993),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maithili,46,Indo-Iranian,0,1,,,1,0,0,1,0,0,,0,,,"Yadav (1980), Mishra (2006)",,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngigua,47,Popolocan,0,1,2,,1,0,0,1,,3,,1,,,Stark Campbell (2011),,,,TRUE,TRUE,,,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhanda,48,Pama-Nyungan,1,0,,0,1,0,0,,1,1,,0,1,,Blevins (2001),TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Tarahumara,49,Tarahumaran languages,0,0,,,1,0,0,1,1,0,,1,,,Caballero (2008),,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trio/TiriyÃ_,50,Guianan Carib,1,1,,0,1,0,0,1,0,1,,1,0,,Carlin (2004),TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Welsh,51,Celtic,0,1,2,,1,0,0,1,0,2,,0,,,Grzegorz & Williams (1999),TRUE,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yupik (Siberian),52,Eskimo,1,0,,0,1,0,0,1,0,1,,0,1,,"Krauss (1975), Jacobson (1976)",TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Arabela,53,Arabelaâ€“Andoa,0,0,3,,1,0,1,,0,1,,0,,,Rich (1963),TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Dutch,54,Germanic,1,1,,0,1,0,1,,0,0,,0,1,,"Sluijter & van Heuven (1996); Gussenhoven & van der Vliet (1998), Crosswhite (2001); Goedemans (2010)",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Emerillon,55,Tupiâ€“GuaranÃ_,1,1,,0,1,0,1,,0,0,,0,0,,Gordon & Rose (2006),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
English,56,Germanic,1,1,,0,1,0,1,,1,0,1,0,1,,"Fry (1955, 1958); Beckman & Edwards (1994); Crosswhite (2001)",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Eton,57,Atlanticâ€“Congo,0,0,1,,1,0,1,1,0,1,,1,,,Van de Velde (2008),TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
German,58,Germanic,1,1,,0,1,0,1,,0,0,1,0,1,,Jessen (1999); Mooshammer & Geng (2008),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Irish,59,Celtic,0,0,,,1,0,1,,0,1,,0,,,"NÃ_ ChiosÃ¡in (1991, 2007), Ã“ Baoill (2009)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Jingulu,60,West Barkly,2,1,,0,1,0,1,,0,1,,0,,,"Pensalfini (1997, 2003)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Kaqchikel,61,Quicheanâ€“Mamean,0,1,,,1,0,1,,0,0,,0,,,"Berinstein (1979), Bennett (to appear); StressTyp",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Limilngan,62,Limilngan-Wulna,1,1,,0,1,0,1,3,1,0,,0,1,,Harvey (2001),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
"Nahuatl, Balsas",63,Southern Uto-Aztecan,0,1,,,1,0,1,,0,0,,1,,,Guion et al (2010),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Norwegian,64,Germanic,1,1,,0,1,0,1,,0,3,,1,1,,Lunden (field data),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
PirahÃ£,65,,0,2,,,1,0,1,,0,1,,1,,,Everett (1998),TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Plang,66,Khasiâ€“Palaungic,0,1,,,1,0,1,,,0,,1,,,Giaphong (2004),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Savosavo,67,Savosavo,2,1,,0,1,0,1,,0,0,,0,,,Wegener (2008),,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Totonac (Misantla),68,Totonac,0,1,,,1,0,1,,0,1,,0,,,"MacKay (1994), van der Hulst, Rice, & Wetzels (2010)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Danish,69,Germanic,0,0,,,1,1,0,,1,3,,1,,,"Fischer-JÃ¸rgensen (1984), Haberland (1994), Koefoed (1985), BasbÃ¸ll (2005)",,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Gayo,70,Malayo-Polynesian,2,1,,0,1,1,0,,1,0,,0,,,Eades (2005),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
"Greek, Modern",71,Hellenic,0,1,,,1,1,0,,0,0,,0,,,Vogel et al (2016); Arvaniti (1992); Arvaniti (1999); Arvaniti (2000),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Huave (San Fransisco del Mar),72,,0,1,,,1,1,0,2,1,0,,0,,,Kim (2005),,,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Italian,73,Italic,1,1,,0,1,1,0,,1,0,,0,1,,"Dâ€™Imperio & Rosenthall (1999); Alfano, Llisterri, & Savy (2007); Crosswhite (2001)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
KurtÃ¶p,74,Tibeto-Kanauri,0,0,,,1,1,0,,0,1,,1,,,Hyslop (2011),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Leti,75,Malayo-Polynesian,1,1,,0,1,1,0,1,0,2,,0,1,1,"Hume (1997), Hume et al. (1997)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Matses,76,Mayoruna,1,0,,0,1,1,0,,0,3,,0,0,,Fleck (2003),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Menominee,77,Central,1,0,,1,1,1,0,,1,1,,0,1,,"Miner (1979), Milligan (2005)",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Mocho,78,Kanjobalan-Chujean,0,1,,,1,1,0,2,0,1,,1,,,Palosaari (2011),TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Paiute (Northern),79,Northern,1,0,,0,1,1,0,1,0,1,,0,0,,"Snapp, Anderson, & Anderson (1982)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
PilagÃ¡,80,Southern,0,0,,,1,1,0,,0,1,,0,,,Vidal (2001),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Punjabi,81,Indo-Aryan,0,,,,1,1,0,,0,1,,1,,,Bhatia (1993),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Saanish,82,Central Salish,1,1,,0,1,1,0,,1,0,,0,1,1,Leonard (2007),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Sidaama (Sidamo),83,Cushitic,0,1,,,1,1,0,2,0,2,,0,,,"Moreno (1940), Kawachi (2007)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Thai,84,Tai,0,1,,,1,1,0,1,1,2,,1,,,"Peyasantiwong (1986), Potisuk, Gandour, & Harper (1996), Tumtavitikul (1996)",TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
ToratÃ¡n,85,Malayo-Polynesian,0,1,,,1,1,0,2,0,1,,0,,,Himmelmann & Wolff (1999),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Tukang Besi,86,Malayo-Polynesian,1,1,1,0,1,1,0,2,0,0,,0,0,,Donahue (1999),,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Yaruro,87,,0,1,,1,1,1,0,,0,0,,0,,,"ObregÃ_n MuÃ±oz (1981), Dixon & Aikhenvald (2006), Wetzels & Meira (2010), Mosonyi, Mosonyi, & GarcÃ_a (2000)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
